0,Unbarred Loose Spiral
1,In-between Round Smooth
2,Barred Spiral
3,Edge-on with Bulge
4,Barred Spiral
5,Round Smooth
6,In-between Round Smooth
7,Round Smooth
8,Edge-on with Bulge
9,Round Smooth
10,Barred Spiral
11,Merging
12,Unbarred Loose Spiral
13,Barred Spiral
14,Barred Spiral
15,Unbarred Tight Spiral
16,Merging
17,Edge-on without Bulge
18,Edge-on without Bulge
19,Unbarred Loose Spiral
20,Barred Spiral
21,Unbarred Loose Spiral
22,Merging
23,Merging
24,Unbarred Loose Spiral
25,Edge-on with Bulge
26,Round Smooth
27,Unbarred Tight Spiral
28,Barred Spiral
29,Unbarred Tight Spiral
30,Merging
31,Barred Spiral
32,Unbarred Loose Spiral
33,Round Smooth
34,Disturbed
35,Edge-on without Bulge
36,In-between Round Smooth
37,Edge-on without Bulge
38,Barred Spiral
39,Edge-on with Bulge
40,In-between Round Smooth
41,Edge-on with Bulge
42,Edge-on with Bulge
43,Barred Spiral
44,Round Smooth
45,In-between Round Smooth
46,Unbarred Loose Spiral
47,In-between Round Smooth
48,Unbarred Tight Spiral
49,Edge-on with Bulge
50,Round Smooth
51,Unbarred Tight Spiral
52,In-between Round Smooth
53,Merging
54,In-between Round Smooth
55,Unbarred Tight Spiral
56,Edge-on with Bulge
57,Unbarred Tight Spiral
58,In-between Round Smooth
59,Unbarred Tight Spiral
60,Unbarred Tight Spiral
61,Edge-on with Bulge
62,Round Smooth
63,Round Smooth
64,Round Smooth
65,Barred Spiral
66,Round Smooth
67,Round Smooth
68,Round Smooth
69,Unbarred Loose Spiral
70,Unbarred Loose Spiral
71,Unbarred Loose Spiral
72,Edge-on without Bulge
73,Edge-on without Bulge
74,Cigar Shaped Smooth
75,Unbarred Tight Spiral
76,Round Smooth
77,Disturbed
78,Edge-on without Bulge
79,Round Smooth
80,Cigar Shaped Smooth
81,Unbarred Loose Spiral
82,Edge-on without Bulge
83,Round Smooth
84,Merging
85,Merging
86,Edge-on with Bulge
87,Unbarred Loose Spiral
88,Edge-on without Bulge
89,Disturbed
90,Barred Spiral
91,Edge-on with Bulge
92,Edge-on without Bulge
93,Disturbed
94,Edge-on without Bulge
95,Disturbed
96,Unbarred Loose Spiral
97,Round Smooth
98,Unbarred Loose Spiral
99,Barred Spiral
100,In-between Round Smooth
101,Round Smooth
102,Round Smooth
103,Unbarred Tight Spiral
104,Round Smooth
105,Disturbed
106,Barred Spiral
107,Barred Spiral
108,Merging
109,Barred Spiral
110,Barred Spiral
111,Edge-on without Bulge
112,Unbarred Loose Spiral
113,Merging
114,Disturbed
115,Unbarred Tight Spiral
116,Unbarred Loose Spiral
117,In-between Round Smooth
118,Unbarred Loose Spiral
119,Round Smooth
120,Unbarred Loose Spiral
121,Unbarred Tight Spiral
122,Edge-on with Bulge
123,Barred Spiral
124,Edge-on without Bulge
125,Merging
126,In-between Round Smooth
127,In-between Round Smooth
128,Merging
129,In-between Round Smooth
130,Barred Spiral
131,Barred Spiral
132,Edge-on with Bulge
133,Unbarred Tight Spiral
134,Disturbed
135,In-between Round Smooth
136,In-between Round Smooth
137,Disturbed
138,Unbarred Loose Spiral
139,In-between Round Smooth
140,Round Smooth
141,Edge-on with Bulge
142,Round Smooth
143,Disturbed
144,Round Smooth
145,Edge-on without Bulge
146,Barred Spiral
147,Round Smooth
148,Merging
149,Merging
150,Round Smooth
151,Unbarred Tight Spiral
152,In-between Round Smooth
153,Barred Spiral
154,Unbarred Loose Spiral
155,Disturbed
156,In-between Round Smooth
157,Merging
158,Round Smooth
159,Barred Spiral
